,Date,RegionID,RegionName,State,Metro,County,City,SizeRank,Zhvi,MoM,QoQ,YoY,5Year,10Year,PeakMonth,PeakQuarter,PeakZHVI,PctFallFromPeak,LastTimeAtCurrZHVI,Zip_Code,Latitude,Longitude
22,4/30/2019,72434,33131,FL,Miami-Fort Lauderdale-West Palm Beach,Miami-Dade County,Miami,1797,396300,-0.0052710840000000005,-0.0072645290000000005,-0.019059406,0.017708705,0.037859211000000004,2007-06,2007-Q2,442600,-0.10460912800000001,2006-08,33131,25.766206,-80.182897
23,4/30/2019,72354,33016,FL,Miami-Fort Lauderdale-West Palm Beach,Miami-Dade County,Hialeah,1800,185700,0.004326663,0.010337323,0.07902382299999999,0.139874185,0.036382987,2007-09,2007-Q3,209000,-0.111483254,2006-04,33016,25.896066,-80.33314
24,4/30/2019,72370,33032,FL,Miami-Fort Lauderdale-West Palm Beach,Miami-Dade County,Princeton,1808,256300,-0.0023355389999999998,0.005098039,0.080067425,0.156472899,0.061957724000000006,2007-06,2007-Q2,275800,-0.070703408,2006-06,33032,25.531517,-80.3908
25,4/30/2019,72436,33133,FL,Miami-Fort Lauderdale-West Palm Beach,Miami-Dade County,Miami,1883,605600,-0.008675724000000001,-0.012876936,-0.008188667,0.057414143,0.048789313,2019-02,2019-Q1,614200,-0.014001953999999999,2017-10,33133,25.728662,-80.23999599999999
26,4/30/2019,72458,33155,FL,Miami-Fort Lauderdale-West Palm Beach,Miami-Dade County,Miami,1890,388700,-0.008165348000000001,-0.008924018,0.046862375,0.09324608,0.052599493,2007-07,2007-Q3,432900,-0.10210210199999999,2006-04,33155,25.736887,-80.31076800000001
27,4/30/2019,72494,33193,FL,Miami-Fort Lauderdale-West Palm Beach,Miami-Dade County,Kendall West,1923,286600,-0.000348797,0.010578279,0.065031587,0.106487443,0.052140874000000004,2007-01,2007-Q1,295100,-0.028803795,2006-07,33193,25.700770000000002,-80.465111
28,4/30/2019,72352,33014,FL,Miami-Fort Lauderdale-West Palm Beach,Miami-Dade County,Hialeah,1945,246500,-0.005647438,-0.013210568,0.037894737000000005,0.10756634300000001,0.042292431,2007-07,2007-Q3,259600,-0.05046225,2006-07,33014,25.9031,-80.302654
29,4/30/2019,72348,33010,FL,Miami-Fort Lauderdale-West Palm Beach,Miami-Dade County,Hialeah,2141,300300,-0.005629139,-0.006944444,0.0702067,0.16142789,0.054345017,2007-09,2007-Q3,321300,-0.065359477,2006-08,33010,25.833202,-80.27871999999999
30,4/30/2019,72443,33140,FL,Miami-Fort Lauderdale-West Palm Beach,Miami-Dade County,Miami Beach,2389,468500,-0.017613756,-0.037196876000000004,-0.026392352,0.043752705,0.04273417400000001,2017-05,2017-Q2,499700,-0.062437462,2016-06,33140,25.819714,-80.133711
31,4/30/2019,72446,33143,FL,Miami-Fort Lauderdale-West Palm Beach,Miami-Dade County,Glenvar Heights,2470,470900,-0.00465018,0.0,0.025255824,0.062783447,0.042828217,2007-01,2007-Q1,501000,-0.06007984,2006-05,33143,25.703032,-80.297375
32,4/30/2019,72472,33169,FL,Miami-Fort Lauderdale-West Palm Beach,Miami-Dade County,Miami Gardens,2566,261000,-0.008735283,-0.009111616999999999,0.079851055,0.173060816,0.05396808,2019-02,2019-Q1,264300,-0.012485811999999999,2018-12,33169,25.943117,-80.214686
33,4/30/2019,72465,33162,FL,Miami-Fort Lauderdale-West Palm Beach,Miami-Dade County,North Miami Beach,2594,265600,-0.01153703,-0.019564415,0.067524116,0.17776892600000002,0.07161218400000001,2006-11,2006-Q4,289200,-0.081604426,2006-04,33162,25.927997,-80.177175
34,4/30/2019,72387,33055,FL,Miami-Fort Lauderdale-West Palm Beach,Miami-Dade County,Miami Gardens,2956,278100,-0.001077586,0.009071118000000001,0.094451004,0.169529249,0.06626705599999999,2007-08,2007-Q3,280400,-0.008202568,2007-06,33055,25.948468,-80.27885500000001
