Date,RegionID,RegionName,State,Metro,County,City,SizeRank,Zhvi,MoM,QoQ,YoY,5Year,10Year,PeakMonth,PeakQuarter,PeakZHVI,PctFallFromPeak,LastTimeAtCurrZHVI
4/30/2019,65851,19301,PA,Philadelphia-Camden-Wilmington,Chester County,Paoli,9841,407300,-0.008278549,-0.003912937,0.082668793,0.041604761,0.020344946,2019-02,2019-Q1,411700,-0.010687394,2019-01
4/30/2019,62986,13142,NY,Syracuse,Oswego County,Richland,9842,116500,-0.013547841,-0.01853412,0.076709797,0.047897974,0.032147639,2019-02,2019-Q1,119500,-0.025104603,2019-01
4/30/2019,70943,30176,GA,Atlanta-Sandy Springs-Roswell,Haralson County,Tallapoosa,9843,114500,-0.006938422,-0.003481288,0.150753769,0.073806983,0.018203908,2019-02,2019-Q1,115500,-0.008658009,2019-01
4/30/2019,73149,34614,FL,Tampa-St. Petersburg-Clearwater,Hernando County,Brooksville,9844,193100,-0.002067183,0.001036807,0.079977629,0.129154337,,2019-03,2019-Q1,193500,-0.002067183,2019-02
4/30/2019,75221,39218,MS,Jackson,Rankin County,Richland,9845,149700,-0.001334223,0.010121457,0.115499255,0.041430084,,2019-03,2019-Q1,149900,-0.001334223,2019-03
4/30/2019,67760,23517,VA,Virginia Beach-Norfolk-Newport News,Norfolk City,Norfolk,9846,258400,-0.003470883,-0.001159644,-0.051743119,0.016157028,-0.005590447,2007-09,2007-Q3,306900,-0.158031932,2005-06
4/30/2019,69290,27310,NC,Greensboro-High Point,Guilford County,Oak Ridge,9847,349700,0.002580275,0.004019523,0.053630612,0.037291579,0.018545101,2018-11,2018-Q4,350500,-0.002282454,2018-11
4/30/2019,63839,15021,PA,Pittsburgh,Washington County,Hanover,9848,113600,-0.021533161,-0.040540541,-0.087550201,0.032311846,0.035042649,2017-12,2017-Q4,127600,-0.109717868,2017-01
4/30/2019,63510,14414,NY,Rochester,Livingston County,Avon,9849,150000,0.003344482,-0.000666223,-0.01055409,0.02558571,0.01496081,2018-08,2018-Q3,154000,-0.025974026,2018-02
4/30/2019,74441,37722,TN,Newport,Cocke County,Cosby,9850,107700,-0.010110294,0.006542056,0.109165808,0.059158287,0.027138124,2019-03,2019-Q1,108800,-0.010110294,2019-02
4/30/2019,58435,1583,MA,Worcester,Worcester County,West Boylston,9851,311700,-0.001601537,0.000642055,0.062372188,0.05668225,0.026613278,2019-03,2019-Q1,312200,-0.001601537,2019-02
