Row Labels,zip,ABUSE,ASSAULT & BATTERY,BURGLARY,CRIMINAL GANG,DRUGS & ALCOHOL,FIRE,GAMBLING,HOMICIDE,KIDNAPPING,MISCELLANEOUS CRIMES,PROTEST,SEXUAL MISCONDUCT,TREASON,WHITE COLLAR,Grand Total
ORLANDO,0,,6,,,5,,,,,13,,,,1,25
P C BEACH,0,,,,,,,,,,1,,,,,1
PALM BEACH,0,,4,,,,,,,,2,,,,,6
PALMETTO BAY,0,,1,,,1,,,,,2,,,,,4
PANAMA CITY,0,,,,,,,,,,1,,,,,1
PEMBROKE PINES,0,,5,1,,6,,,,,8,,,,,20
PLANTATION,0,,1,,,2,,,,,,,,,,3
PLANTION,0,,,,,,,,,,1,,,,,1
POMPANO BEACH,0,,,3,,,,,1,,8,,,,,12
PORT CHARLOTTE,0,,3,6,,3,1,,,,7,,,,,20
PORT ST LUCIE,0,,1,1,,3,,,,,8,,,,,13
QUINCY,0,,,,,,,,,,1,,,,,1
RESCUE MISSION,0,,,,,5,,,,,,,,,,5
RUSSIA,0,,1,,,,,,,,,,,,,1
SAFETY HARBOUR,0,,,,,,,,,,1,,,,,1
SAN ANTONIO,0,,,,,,,,,,1,,,,,1
SAN DIEGO,0,,1,,,,,,,,2,,,,,3
SAN MATEO,0,,1,,,,,,1,,,,,,,2
SEBRING,0,,,,,,,,,,2,,,,,2
SILVER SPRINGS,0,,,,,,,,,,1,,,,,1
SINGER ISLAND,0,,1,,,,,,,,1,,,,,2
SOUTH MIAMI,33155,,7,1,,1,,,,,2,,,,,11
SOUTHWEST RANCH,0,,,,,,,,,,1,,,,,1
SPRING HILL,0,,,,,,,,,,2,,,,,2
ST AUGUSTINE,0,,2,1,,2,,,,1,4,,1,,,11
ST CLOUD,0,,2,,,,,,,,3,,,,,5
ST JAMES CITY,0,,,,,,,,,,1,,,,,1
ST PETE BEACH,0,,,1,,,,,,,,,,,,1
ST PETERSBURG,0,,9,2,,11,,,,,14,,,,,36
STUART,0,,1,,,,,,,,1,,,,,2
SUNNY ISLES,33160,,,,,,,,,,1,,,,,1
SUNNY ISLES BEACH,33160,,,,,,,,,,3,,,,,3
SUNRISE,0,,,,,,,,,,5,,1,,,6
SURFSIDE,0,,1,1,,14,,,,,2,,,,,18
SW RANCHES,0,,2,2,,3,,,,,4,,,1,2,14
TALLAHASSEE,0,,1,1,,,,,,,1,,,,,3
TAMARAC,0,,,,,2,,,,,1,,1,,,4
TAMPA,0,,,,,1,,,,,5,,,,,6
THE VILLAGES,0,,,1,,,,,,,,,,,,1
TITUSVILLE,0,,,,,1,,,,,,,,,,1
UNKNOWN,0,,1,,,,,,,,,,,,,1
WALES,0,,,,,1,,,,,,,,,,1
WEST FORT MYERS,0,,,,,,,,,,1,,,,,1
WEST PALM BEACH,0,,2,2,,,,,,,9,,,1,,14
WEST PARK,0,,1,,,1,,,,,4,,,,,6
WILLOUGHBY,0,,,,,1,,,,,,,,,,1
WINTER PARK,0,,,1,,,,,,,,,,,,1
Grand Total,25,25,4061,2248,1,4756,190,5,52,38,6074,3,504,231,232,18420
