,Booking_year_month,total_crime,total_crime_1,age<25_1,age26-50_1,age>50_1,day_of_week_Monday_1,day_of_week_Tuesday_1,day_of_week_Wednesday_1,day_of_week_Thursday_1,day_of_week_Friday_1,day_of_week_Saturday_1,day_of_week_Sunday_1,summer_1,spring_1,winter_1,autum_1,CityRN_FOREIGN_1,CityRN_HOMELESS_1,CityRN_MIAMI_1
40,2018-09,123,126.0,18.0,85.0,23.0,16.0,14.0,20.0,30.0,15.0,16.0,15.0,1.0,0.0,0.0,0.0,6.0,43.0,57.0
41,2018-10,135,123.0,12.0,89.0,22.0,8.0,15.0,18.0,26.0,17.0,19.0,20.0,1.0,0.0,0.0,0.0,3.0,38.0,63.0
42,2018-11,124,135.0,16.0,97.0,22.0,23.0,9.0,33.0,30.0,20.0,10.0,10.0,0.0,0.0,0.0,1.0,3.0,39.0,67.0
43,2018-12,121,124.0,13.0,84.0,27.0,10.0,17.0,22.0,29.0,20.0,11.0,15.0,0.0,0.0,0.0,1.0,5.0,45.0,48.0
44,2019-01,155,121.0,23.0,80.0,18.0,13.0,13.0,21.0,17.0,13.0,26.0,18.0,0.0,0.0,0.0,1.0,3.0,46.0,55.0
45,2019-02,145,155.0,23.0,100.0,32.0,23.0,20.0,24.0,35.0,24.0,18.0,11.0,0.0,0.0,1.0,0.0,2.0,54.0,69.0
46,2019-03,139,145.0,22.0,92.0,31.0,14.0,18.0,38.0,31.0,16.0,10.0,18.0,0.0,0.0,1.0,0.0,4.0,40.0,78.0
47,2019-04,131,139.0,26.0,84.0,29.0,15.0,13.0,26.0,24.0,32.0,10.0,19.0,0.0,0.0,1.0,0.0,4.0,38.0,73.0
48,2019-05,149,131.0,26.0,74.0,31.0,27.0,21.0,24.0,18.0,13.0,14.0,14.0,0.0,1.0,0.0,0.0,4.0,23.0,73.0
49,2019-06,109,149.0,21.0,99.0,29.0,15.0,26.0,34.0,17.0,15.0,22.0,20.0,0.0,1.0,0.0,0.0,4.0,45.0,71.0
